Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (27748 already done, 22252 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (7748 done, 2252 remaining) ---
[27749/50000] 2026-06-28 11:55:57 | R3 | railroadcar/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[44910/50000] 2026-06-28 15:24:55 | R5 | hanoi/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[44911/50000] 2026-06-28 15:24:55 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[44912/50000] 2026-06-28 15:24:56 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[44913/50000] 2026-06-28 15:24:57 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[44914/50000] 2026-06-28 15:24:57 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[44915/50000] 2026-06-28 15:24:58 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[44916/50000] 2026-06-28 15:24:59 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[44917/50000] 2026-06-28 15:25:00 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[44918/50000] 2026-06-28 15:25:00 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[44919/50000] 2026-06-28 15:25:01 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[44920/50000] 2026-06-28 15:25:02 | R5 | hanoi/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[44921/50000] 2026-06-28 15:25:02 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/0_orig → NON-CLONE
[44922/50000] 2026-06-28 15:25:03 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[44923/50000] 2026-06-28 15:25:04 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[44924/50000] 2026-06-28 15:25:04 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[44925/50000] 2026-06-28 15:25:05 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[44926/50000] 2026-06-28 15:25:05 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[44927/50000] 2026-06-28 15:25:06 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[44928/50000] 2026-06-28 15:25:06 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[44929/50000] 2026-06-28 15:25:07 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[44930/50000] 2026-06-28 15:25:07 | R5 | hanoi/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[44931/50000] 2026-06-28 15:25:08 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/0_orig → NON-CLONE
[44932/50000] 2026-06-28 15:25:09 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/1_artifice → NON-CLONE
[44933/50000] 2026-06-28 15:25:09 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[44934/50000] 2026-06-28 15:25:10 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[44935/50000] 2026-06-28 15:25:11 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[44936/50000] 2026-06-28 15:25:12 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[44937/50000] 2026-06-28 15:25:12 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[44938/50000] 2026-06-28 15:25:13 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[44939/50000] 2026-06-28 15:25:14 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[44940/50000] 2026-06-28 15:25:14 | R5 | hanoi/test_1_artifice_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[44941/50000] 2026-06-28 15:25:15 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/0_orig → CLONE
[44942/50000] 2026-06-28 15:25:16 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/1_artifice → CLONE
[44943/50000] 2026-06-28 15:25:16 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_no_krakatau → CLONE
[44944/50000] 2026-06-28 15:25:17 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_no_procyon → CLONE
[44945/50000] 2026-06-28 15:25:18 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_krakatau → CLONE
[44946/50000] 2026-06-28 15:25:19 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_procyon → CLONE
[44947/50000] 2026-06-28 15:25:19 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_krakatau → CLONE
[44948/50000] 2026-06-28 15:25:20 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_procyon → CLONE
[44949/50000] 2026-06-28 15:25:21 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → CLONE
[44950/50000] 2026-06-28 15:25:22 | R5 | hanoi/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_procyon → CLONE
[44951/50000] 2026-06-28 15:25:22 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/0_orig → NON-CLONE
[44952/50000] 2026-06-28 15:25:23 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[44953/50000] 2026-06-28 15:25:24 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[44954/50000] 2026-06-28 15:25:24 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[44955/50000] 2026-06-28 15:25:25 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[44956/50000] 2026-06-28 15:25:26 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[44957/50000] 2026-06-28 15:25:26 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[44958/50000] 2026-06-28 15:25:27 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[44959/50000] 2026-06-28 15:25:28 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[44960/50000] 2026-06-28 15:25:28 | R5 | hanoi/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[44961/50000] 2026-06-28 15:25:29 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/0_orig → NON-CLONE
[44962/50000] 2026-06-28 15:25:30 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/1_artifice → NON-CLONE
[44963/50000] 2026-06-28 15:25:30 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[44964/50000] 2026-06-28 15:25:31 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[44965/50000] 2026-06-28 15:25:31 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[44966/50000] 2026-06-28 15:25:32 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[44967/50000] 2026-06-28 15:25:33 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[44968/50000] 2026-06-28 15:25:33 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[44969/50000] 2026-06-28 15:25:34 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[44970/50000] 2026-06-28 15:25:34 | R5 | hanoi/test_1_artifice_pg_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[44971/50000] 2026-06-28 15:25:35 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/0_orig → NON-CLONE
[44972/50000] 2026-06-28 15:25:36 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[44973/50000] 2026-06-28 15:25:36 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[44974/50000] 2026-06-28 15:25:37 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[44975/50000] 2026-06-28 15:25:37 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[44976/50000] 2026-06-28 15:25:38 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[44977/50000] 2026-06-28 15:25:38 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[44978/50000] 2026-06-28 15:25:39 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[44979/50000] 2026-06-28 15:25:40 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[44980/50000] 2026-06-28 15:25:40 | R5 | hanoi/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[44981/50000] 2026-06-28 15:25:41 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[44982/50000] 2026-06-28 15:25:42 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[44983/50000] 2026-06-28 15:25:42 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[44984/50000] 2026-06-28 15:25:43 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[44985/50000] 2026-06-28 15:25:44 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[44986/50000] 2026-06-28 15:25:44 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[44987/50000] 2026-06-28 15:25:45 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[44988/50000] 2026-06-28 15:25:45 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[44989/50000] 2026-06-28 15:25:46 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[44990/50000] 2026-06-28 15:25:47 | R5 | hanoi/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[44991/50000] 2026-06-28 15:25:47 | R5 | hanoi/test_1_artifice_pg_procyon vs square/0_orig → NON-CLONE
[44992/50000] 2026-06-28 15:25:48 | R5 | hanoi/test_1_artifice_pg_procyon vs square/1_artifice → NON-CLONE
[44993/50000] 2026-06-28 15:25:49 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[44994/50000] 2026-06-28 15:25:49 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[44995/50000] 2026-06-28 15:25:50 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[44996/50000] 2026-06-28 15:25:51 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[44997/50000] 2026-06-28 15:25:51 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[44998/50000] 2026-06-28 15:25:52 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[44999/50000] 2026-06-28 15:25:53 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[45000/50000] 2026-06-28 15:25:54 | R5 | hanoi/test_1_artifice_pg_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[45001/50000] 2026-06-28 15:25:54 | R5 | kaprekar/0_orig vs InfixConverter/0_orig → NON-CLONE
[45002/50000] 2026-06-28 15:25:55 | R5 | kaprekar/0_orig vs InfixConverter/1_artifice → NON-CLONE
[45003/50000] 2026-06-28 15:25:56 | R5 | kaprekar/0_orig vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[45004/50000] 2026-06-28 15:25:56 | R5 | kaprekar/0_orig vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[45005/50000] 2026-06-28 15:25:57 | R5 | kaprekar/0_orig vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[45006/50000] 2026-06-28 15:25:58 | R5 | kaprekar/0_orig vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[45007/50000] 2026-06-28 15:25:58 | R5 | kaprekar/0_orig vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[45008/50000] 2026-06-28 15:25:59 | R5 | kaprekar/0_orig vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[45009/50000] 2026-06-28 15:26:00 | R5 | kaprekar/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[45010/50000] 2026-06-28 15:26:00 | R5 | kaprekar/0_orig vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[45011/50000] 2026-06-28 15:26:01 | R5 | kaprekar/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[45012/50000] 2026-06-28 15:26:02 | R5 | kaprekar/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[45013/50000] 2026-06-28 15:26:03 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[45014/50000] 2026-06-28 15:26:03 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[45015/50000] 2026-06-28 15:26:04 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[45016/50000] 2026-06-28 15:26:05 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[45017/50000] 2026-06-28 15:26:06 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[45018/50000] 2026-06-28 15:26:06 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[45019/50000] 2026-06-28 15:26:07 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[45020/50000] 2026-06-28 15:26:08 | R5 | kaprekar/0_orig vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[45021/50000] 2026-06-28 15:26:09 | R5 | kaprekar/0_orig vs bubblesort/0_orig → NON-CLONE
[45022/50000] 2026-06-28 15:26:09 | R5 | kaprekar/0_orig vs bubblesort/1_artifice → NON-CLONE
[45023/50000] 2026-06-28 15:26:10 | R5 | kaprekar/0_orig vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[45024/50000] 2026-06-28 15:26:10 | R5 | kaprekar/0_orig vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[45025/50000] 2026-06-28 15:26:11 | R5 | kaprekar/0_orig vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[45026/50000] 2026-06-28 15:26:12 | R5 | kaprekar/0_orig vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[45027/50000] 2026-06-28 15:26:12 | R5 | kaprekar/0_orig vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[45028/50000] 2026-06-28 15:26:13 | R5 | kaprekar/0_orig vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[45029/50000] 2026-06-28 15:26:14 | R5 | kaprekar/0_orig vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[45030/50000] 2026-06-28 15:26:14 | R5 | kaprekar/0_orig vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[45031/50000] 2026-06-28 15:26:15 | R5 | kaprekar/0_orig vs guessword/0_orig → NON-CLONE
[45032/50000] 2026-06-28 15:26:16 | R5 | kaprekar/0_orig vs guessword/1_artifice → NON-CLONE
[45033/50000] 2026-06-28 15:26:16 | R5 | kaprekar/0_orig vs guessword/test_0_orig_no_krakatau → NON-CLONE
[45034/50000] 2026-06-28 15:26:17 | R5 | kaprekar/0_orig vs guessword/test_0_orig_no_procyon → NON-CLONE
[45035/50000] 2026-06-28 15:26:18 | R5 | kaprekar/0_orig vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[45036/50000] 2026-06-28 15:26:19 | R5 | kaprekar/0_orig vs guessword/test_0_orig_pg_procyon → NON-CLONE
[45037/50000] 2026-06-28 15:26:19 | R5 | kaprekar/0_orig vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[45038/50000] 2026-06-28 15:26:20 | R5 | kaprekar/0_orig vs guessword/test_1_artifice_no_procyon → NON-CLONE
[45039/50000] 2026-06-28 15:26:21 | R5 | kaprekar/0_orig vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[45040/50000] 2026-06-28 15:26:21 | R5 | kaprekar/0_orig vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[45041/50000] 2026-06-28 15:26:22 | R5 | kaprekar/0_orig vs hanoi/0_orig → NON-CLONE
[45042/50000] 2026-06-28 15:26:23 | R5 | kaprekar/0_orig vs hanoi/1_artifice → NON-CLONE
[45043/50000] 2026-06-28 15:26:23 | R5 | kaprekar/0_orig vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[45044/50000] 2026-06-28 15:26:24 | R5 | kaprekar/0_orig vs hanoi/test_0_orig_no_procyon → NON-CLONE
[45045/50000] 2026-06-28 15:26:25 | R5 | kaprekar/0_orig vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[45046/50000] 2026-06-28 15:26:26 | R5 | kaprekar/0_orig vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[45047/50000] 2026-06-28 15:26:26 | R5 | kaprekar/0_orig vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[45048/50000] 2026-06-28 15:26:27 | R5 | kaprekar/0_orig vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[45049/50000] 2026-06-28 15:26:28 | R5 | kaprekar/0_orig vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[45050/50000] 2026-06-28 15:26:28 | R5 | kaprekar/0_orig vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[45051/50000] 2026-06-28 15:26:29 | R5 | kaprekar/0_orig vs kaprekar/0_orig → CLONE
[45052/50000] 2026-06-28 15:26:30 | R5 | kaprekar/0_orig vs kaprekar/1_artifice → CLONE
[45053/50000] 2026-06-28 15:26:31 | R5 | kaprekar/0_orig vs kaprekar/test_0_orig_no_krakatau → CLONE
[45054/50000] 2026-06-28 15:26:32 | R5 | kaprekar/0_orig vs kaprekar/test_0_orig_no_procyon → CLONE
[45055/50000] 2026-06-28 15:26:32 | R5 | kaprekar/0_orig vs kaprekar/test_0_orig_pg_krakatau → CLONE
[45056/50000] 2026-06-28 15:26:33 | R5 | kaprekar/0_orig vs kaprekar/test_0_orig_pg_procyon → CLONE
[45057/50000] 2026-06-28 15:26:34 | R5 | kaprekar/0_orig vs kaprekar/test_1_artifice_no_krakatau → CLONE
[45058/50000] 2026-06-28 15:26:35 | R5 | kaprekar/0_orig vs kaprekar/test_1_artifice_no_procyon → CLONE
[45059/50000] 2026-06-28 15:26:36 | R5 | kaprekar/0_orig vs kaprekar/test_1_artifice_pg_krakatau → CLONE
[45060/50000] 2026-06-28 15:26:36 | R5 | kaprekar/0_orig vs kaprekar/test_1_artifice_pg_procyon → CLONE
[45061/50000] 2026-06-28 15:26:37 | R5 | kaprekar/0_orig vs queens/0_orig → NON-CLONE
[45062/50000] 2026-06-28 15:26:38 | R5 | kaprekar/0_orig vs queens/1_artifice → NON-CLONE
[45063/50000] 2026-06-28 15:26:38 | R5 | kaprekar/0_orig vs queens/test_0_orig_no_krakatau → NON-CLONE
[45064/50000] 2026-06-28 15:26:39 | R5 | kaprekar/0_orig vs queens/test_0_orig_no_procyon → NON-CLONE
[45065/50000] 2026-06-28 15:26:40 | R5 | kaprekar/0_orig vs queens/test_0_orig_pg_krakatau → NON-CLONE
[45066/50000] 2026-06-28 15:26:40 | R5 | kaprekar/0_orig vs queens/test_0_orig_pg_procyon → NON-CLONE
[45067/50000] 2026-06-28 15:26:41 | R5 | kaprekar/0_orig vs queens/test_1_artifice_no_krakatau → NON-CLONE
[45068/50000] 2026-06-28 15:26:41 | R5 | kaprekar/0_orig vs queens/test_1_artifice_no_procyon → NON-CLONE
[45069/50000] 2026-06-28 15:26:42 | R5 | kaprekar/0_orig vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[45070/50000] 2026-06-28 15:26:43 | R5 | kaprekar/0_orig vs queens/test_1_artifice_pg_procyon → NON-CLONE
[45071/50000] 2026-06-28 15:26:43 | R5 | kaprekar/0_orig vs railroadcar/0_orig → NON-CLONE
[45072/50000] 2026-06-28 15:26:44 | R5 | kaprekar/0_orig vs railroadcar/1_artifice → NON-CLONE
[45073/50000] 2026-06-28 15:26:44 | R5 | kaprekar/0_orig vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[45074/50000] 2026-06-28 15:26:45 | R5 | kaprekar/0_orig vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[45075/50000] 2026-06-28 15:26:46 | R5 | kaprekar/0_orig vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[45076/50000] 2026-06-28 15:26:46 | R5 | kaprekar/0_orig vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[45077/50000] 2026-06-28 15:26:47 | R5 | kaprekar/0_orig vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[45078/50000] 2026-06-28 15:26:48 | R5 | kaprekar/0_orig vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[45079/50000] 2026-06-28 15:26:48 | R5 | kaprekar/0_orig vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[45080/50000] 2026-06-28 15:26:49 | R5 | kaprekar/0_orig vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[45081/50000] 2026-06-28 15:26:50 | R5 | kaprekar/0_orig vs slinkedlist/0_orig → NON-CLONE
[45082/50000] 2026-06-28 15:26:51 | R5 | kaprekar/0_orig vs slinkedlist/1_artifice → NON-CLONE
[45083/50000] 2026-06-28 15:26:51 | R5 | kaprekar/0_orig vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[45084/50000] 2026-06-28 15:26:52 | R5 | kaprekar/0_orig vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[45085/50000] 2026-06-28 15:26:53 | R5 | kaprekar/0_orig vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[45086/50000] 2026-06-28 15:26:53 | R5 | kaprekar/0_orig vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[45087/50000] 2026-06-28 15:26:54 | R5 | kaprekar/0_orig vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[45088/50000] 2026-06-28 15:26:55 | R5 | kaprekar/0_orig vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[45089/50000] 2026-06-28 15:26:55 | R5 | kaprekar/0_orig vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[45090/50000] 2026-06-28 15:26:56 | R5 | kaprekar/0_orig vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[45091/50000] 2026-06-28 15:26:57 | R5 | kaprekar/0_orig vs square/0_orig → NON-CLONE
[45092/50000] 2026-06-28 15:26:58 | R5 | kaprekar/0_orig vs square/1_artifice → NON-CLONE
[45093/50000] 2026-06-28 15:26:59 | R5 | kaprekar/0_orig vs square/test_0_orig_no_krakatau → NON-CLONE
[45094/50000] 2026-06-28 15:26:59 | R5 | kaprekar/0_orig vs square/test_0_orig_no_procyon → NON-CLONE
[45095/50000] 2026-06-28 15:27:00 | R5 | kaprekar/0_orig vs square/test_0_orig_pg_krakatau → NON-CLONE
[45096/50000] 2026-06-28 15:27:01 | R5 | kaprekar/0_orig vs square/test_0_orig_pg_procyon → NON-CLONE
[45097/50000] 2026-06-28 15:27:02 | R5 | kaprekar/0_orig vs square/test_1_artifice_no_krakatau → NON-CLONE
[45098/50000] 2026-06-28 15:27:02 | R5 | kaprekar/0_orig vs square/test_1_artifice_no_procyon → NON-CLONE
[45099/50000] 2026-06-28 15:27:03 | R5 | kaprekar/0_orig vs square/test_1_artifice_pg_krakatau → NON-CLONE
[45100/50000] 2026-06-28 15:27:04 | R5 | kaprekar/0_orig vs square/test_1_artifice_pg_procyon → NON-CLONE
[45101/50000] 2026-06-28 15:27:05 | R5 | kaprekar/1_artifice vs InfixConverter/0_orig → NON-CLONE
[45102/50000] 2026-06-28 15:27:05 | R5 | kaprekar/1_artifice vs InfixConverter/1_artifice → NON-CLONE
[45103/50000] 2026-06-28 15:27:06 | R5 | kaprekar/1_artifice vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[45104/50000] 2026-06-28 15:27:07 | R5 | kaprekar/1_artifice vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[45105/50000] 2026-06-28 15:27:07 | R5 | kaprekar/1_artifice vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[45106/50000] 2026-06-28 15:27:08 | R5 | kaprekar/1_artifice vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[45107/50000] 2026-06-28 15:27:09 | R5 | kaprekar/1_artifice vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[45108/50000] 2026-06-28 15:27:09 | R5 | kaprekar/1_artifice vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
