Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (21438 already done, 28562 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (1438 done, 8562 remaining) ---
[21439/50000] 2026-06-23 05:53:20 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[48201/50000] 2026-06-24 02:14:18 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/0_orig → NON-CLONE
[48202/50000] 2026-06-24 02:14:21 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/1_artifice → NON-CLONE
[48203/50000] 2026-06-24 02:14:23 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[48204/50000] 2026-06-24 02:14:26 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[48205/50000] 2026-06-24 02:14:30 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[48206/50000] 2026-06-24 02:14:32 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[48207/50000] 2026-06-24 02:14:34 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[48208/50000] 2026-06-24 02:14:36 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[48209/50000] 2026-06-24 02:14:39 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[48210/50000] 2026-06-24 02:14:42 | R5 | slinkedlist/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[48211/50000] 2026-06-24 02:14:44 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[48212/50000] 2026-06-24 02:14:46 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[48213/50000] 2026-06-24 02:14:49 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[48214/50000] 2026-06-24 02:14:51 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[48215/50000] 2026-06-24 02:14:55 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[48216/50000] 2026-06-24 02:14:57 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[48217/50000] 2026-06-24 02:15:00 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[48218/50000] 2026-06-24 02:15:02 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[48219/50000] 2026-06-24 02:15:05 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[48220/50000] 2026-06-24 02:15:08 | R5 | slinkedlist/test_0_orig_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[48221/50000] 2026-06-24 02:15:11 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/0_orig → NON-CLONE
[48222/50000] 2026-06-24 02:15:13 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/1_artifice → NON-CLONE
[48223/50000] 2026-06-24 02:15:15 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[48224/50000] 2026-06-24 02:15:17 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[48225/50000] 2026-06-24 02:15:20 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[48226/50000] 2026-06-24 02:15:22 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[48227/50000] 2026-06-24 02:15:24 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[48228/50000] 2026-06-24 02:15:26 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[48229/50000] 2026-06-24 02:15:28 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[48230/50000] 2026-06-24 02:15:29 | R5 | slinkedlist/test_0_orig_no_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[48231/50000] 2026-06-24 02:15:32 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/0_orig → NON-CLONE
[48232/50000] 2026-06-24 02:15:34 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/1_artifice → NON-CLONE
[48233/50000] 2026-06-24 02:15:37 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[48234/50000] 2026-06-24 02:15:40 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[48235/50000] 2026-06-24 02:15:42 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[48236/50000] 2026-06-24 02:15:44 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[48237/50000] 2026-06-24 02:15:46 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[48238/50000] 2026-06-24 02:15:48 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[48239/50000] 2026-06-24 02:15:50 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[48240/50000] 2026-06-24 02:15:52 | R5 | slinkedlist/test_0_orig_no_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[48241/50000] 2026-06-24 02:15:55 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/0_orig → NON-CLONE
[48242/50000] 2026-06-24 02:15:58 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/1_artifice → NON-CLONE
[48243/50000] 2026-06-24 02:16:00 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[48244/50000] 2026-06-24 02:16:02 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[48245/50000] 2026-06-24 02:16:05 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[48246/50000] 2026-06-24 02:16:08 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[48247/50000] 2026-06-24 02:16:10 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[48248/50000] 2026-06-24 02:16:13 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[48249/50000] 2026-06-24 02:16:16 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[48250/50000] 2026-06-24 02:16:18 | R5 | slinkedlist/test_0_orig_no_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[48251/50000] 2026-06-24 02:16:21 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/0_orig → NON-CLONE
[48252/50000] 2026-06-24 02:16:23 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/1_artifice → NON-CLONE
[48253/50000] 2026-06-24 02:16:26 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[48254/50000] 2026-06-24 02:16:29 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[48255/50000] 2026-06-24 02:16:31 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[48256/50000] 2026-06-24 02:16:34 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[48257/50000] 2026-06-24 02:16:38 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[48258/50000] 2026-06-24 02:16:41 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[48259/50000] 2026-06-24 02:16:43 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[48260/50000] 2026-06-24 02:16:46 | R5 | slinkedlist/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[48261/50000] 2026-06-24 02:16:48 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/0_orig → NON-CLONE
[48262/50000] 2026-06-24 02:16:50 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/1_artifice → NON-CLONE
[48263/50000] 2026-06-24 02:16:53 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[48264/50000] 2026-06-24 02:16:56 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[48265/50000] 2026-06-24 02:16:59 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[48266/50000] 2026-06-24 02:17:01 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[48267/50000] 2026-06-24 02:17:04 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[48268/50000] 2026-06-24 02:17:06 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[48269/50000] 2026-06-24 02:17:09 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[48270/50000] 2026-06-24 02:17:12 | R5 | slinkedlist/test_0_orig_no_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[48271/50000] 2026-06-24 02:17:15 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/0_orig → NON-CLONE
[48272/50000] 2026-06-24 02:17:18 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/1_artifice → NON-CLONE
[48273/50000] 2026-06-24 02:17:21 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[48274/50000] 2026-06-24 02:17:24 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[48275/50000] 2026-06-24 02:17:27 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[48276/50000] 2026-06-24 02:17:30 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[48277/50000] 2026-06-24 02:17:32 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[48278/50000] 2026-06-24 02:17:33 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[48279/50000] 2026-06-24 02:17:35 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[48280/50000] 2026-06-24 02:17:38 | R5 | slinkedlist/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[48281/50000] 2026-06-24 02:17:40 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/0_orig → CLONE
[48282/50000] 2026-06-24 02:17:42 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/1_artifice → CLONE
[48283/50000] 2026-06-24 02:17:44 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_no_krakatau → CLONE
[48284/50000] 2026-06-24 02:17:47 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_no_procyon → CLONE
[48285/50000] 2026-06-24 02:17:49 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_pg_krakatau → CLONE
[48286/50000] 2026-06-24 02:17:51 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_pg_procyon → CLONE
[48287/50000] 2026-06-24 02:17:53 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_no_krakatau → CLONE
[48288/50000] 2026-06-24 02:17:55 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_no_procyon → CLONE
[48289/50000] 2026-06-24 02:17:57 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → CLONE
[48290/50000] 2026-06-24 02:17:59 | R5 | slinkedlist/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_pg_procyon → CLONE
[48291/50000] 2026-06-24 02:18:01 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/0_orig → NON-CLONE
[48292/50000] 2026-06-24 02:18:03 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/1_artifice → NON-CLONE
[48293/50000] 2026-06-24 02:18:06 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[48294/50000] 2026-06-24 02:18:08 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[48295/50000] 2026-06-24 02:18:11 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[48296/50000] 2026-06-24 02:18:13 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[48297/50000] 2026-06-24 02:18:15 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[48298/50000] 2026-06-24 02:18:16 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[48299/50000] 2026-06-24 02:18:19 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[48300/50000] 2026-06-24 02:18:21 | R5 | slinkedlist/test_0_orig_no_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[48301/50000] 2026-06-24 02:18:25 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/0_orig → NON-CLONE
[48302/50000] 2026-06-24 02:18:28 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/1_artifice → NON-CLONE
[48303/50000] 2026-06-24 02:18:32 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[48304/50000] 2026-06-24 02:18:35 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[48305/50000] 2026-06-24 02:18:37 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[48306/50000] 2026-06-24 02:18:41 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[48307/50000] 2026-06-24 02:18:44 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[48308/50000] 2026-06-24 02:18:46 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[48309/50000] 2026-06-24 02:18:48 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[48310/50000] 2026-06-24 02:18:50 | R5 | slinkedlist/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[48311/50000] 2026-06-24 02:18:53 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[48312/50000] 2026-06-24 02:18:55 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[48313/50000] 2026-06-24 02:18:58 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[48314/50000] 2026-06-24 02:19:01 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[48315/50000] 2026-06-24 02:19:04 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[48316/50000] 2026-06-24 02:19:06 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[48317/50000] 2026-06-24 02:19:09 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[48318/50000] 2026-06-24 02:19:11 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[48319/50000] 2026-06-24 02:19:13 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[48320/50000] 2026-06-24 02:19:17 | R5 | slinkedlist/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[48321/50000] 2026-06-24 02:19:19 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/0_orig → NON-CLONE
[48322/50000] 2026-06-24 02:19:21 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/1_artifice → NON-CLONE
[48323/50000] 2026-06-24 02:19:23 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[48324/50000] 2026-06-24 02:19:25 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[48325/50000] 2026-06-24 02:19:27 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[48326/50000] 2026-06-24 02:19:29 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[48327/50000] 2026-06-24 02:19:32 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[48328/50000] 2026-06-24 02:19:34 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[48329/50000] 2026-06-24 02:19:36 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[48330/50000] 2026-06-24 02:19:38 | R5 | slinkedlist/test_0_orig_no_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[48331/50000] 2026-06-24 02:19:42 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/0_orig → NON-CLONE
[48332/50000] 2026-06-24 02:19:44 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/1_artifice → NON-CLONE
[48333/50000] 2026-06-24 02:19:46 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[48334/50000] 2026-06-24 02:19:49 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[48335/50000] 2026-06-24 02:19:51 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[48336/50000] 2026-06-24 02:19:54 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[48337/50000] 2026-06-24 02:19:56 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[48338/50000] 2026-06-24 02:19:58 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[48339/50000] 2026-06-24 02:20:00 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[48340/50000] 2026-06-24 02:20:02 | R5 | slinkedlist/test_0_orig_no_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[48341/50000] 2026-06-24 02:20:05 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/0_orig → NON-CLONE
[48342/50000] 2026-06-24 02:20:09 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/1_artifice → NON-CLONE
[48343/50000] 2026-06-24 02:20:11 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[48344/50000] 2026-06-24 02:20:14 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[48345/50000] 2026-06-24 02:20:17 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[48346/50000] 2026-06-24 02:20:21 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[48347/50000] 2026-06-24 02:20:23 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[48348/50000] 2026-06-24 02:20:25 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[48349/50000] 2026-06-24 02:20:28 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[48350/50000] 2026-06-24 02:20:31 | R5 | slinkedlist/test_0_orig_no_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[48351/50000] 2026-06-24 02:20:34 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/0_orig → NON-CLONE
[48352/50000] 2026-06-24 02:20:36 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/1_artifice → NON-CLONE
[48353/50000] 2026-06-24 02:20:38 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[48354/50000] 2026-06-24 02:20:41 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[48355/50000] 2026-06-24 02:20:43 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[48356/50000] 2026-06-24 02:20:46 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[48357/50000] 2026-06-24 02:20:49 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[48358/50000] 2026-06-24 02:20:53 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[48359/50000] 2026-06-24 02:20:56 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[48360/50000] 2026-06-24 02:20:58 | R5 | slinkedlist/test_0_orig_no_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[48361/50000] 2026-06-24 02:21:02 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/0_orig → NON-CLONE
[48362/50000] 2026-06-24 02:21:05 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/1_artifice → NON-CLONE
[48363/50000] 2026-06-24 02:21:08 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[48364/50000] 2026-06-24 02:21:11 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[48365/50000] 2026-06-24 02:21:14 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[48366/50000] 2026-06-24 02:21:17 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[48367/50000] 2026-06-24 02:21:19 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[48368/50000] 2026-06-24 02:21:22 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[48369/50000] 2026-06-24 02:21:26 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[48370/50000] 2026-06-24 02:21:29 | R5 | slinkedlist/test_0_orig_no_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[48371/50000] 2026-06-24 02:21:32 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/0_orig → NON-CLONE
[48372/50000] 2026-06-24 02:21:34 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/1_artifice → NON-CLONE
[48373/50000] 2026-06-24 02:21:37 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[48374/50000] 2026-06-24 02:21:39 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[48375/50000] 2026-06-24 02:21:41 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[48376/50000] 2026-06-24 02:21:44 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[48377/50000] 2026-06-24 02:21:47 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[48378/50000] 2026-06-24 02:21:49 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[48379/50000] 2026-06-24 02:21:52 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[48380/50000] 2026-06-24 02:21:54 | R5 | slinkedlist/test_0_orig_no_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[48381/50000] 2026-06-24 02:21:58 | R5 | slinkedlist/test_0_orig_no_procyon vs slinkedlist/0_orig → CLONE
[48382/50000] 2026-06-24 02:22:00 | R5 | slinkedlist/test_0_orig_no_procyon vs slinkedlist/1_artifice → CLONE
[48383/50000] 2026-06-24 02:22:03 | R5 | slinkedlist/test_0_orig_no_procyon vs slinkedlist/test_0_orig_no_krakatau → CLONE
[48384/50000] 2026-06-24 02:22:05 | R5 | slinkedlist/test_0_orig_no_procyon vs slinkedlist/test_0_orig_no_procyon → CLONE
