Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[46403/50000] 2026-06-28 18:50:19 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[46404/50000] 2026-06-28 18:50:20 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[46405/50000] 2026-06-28 18:50:21 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[46406/50000] 2026-06-28 18:50:21 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[46407/50000] 2026-06-28 18:50:22 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[46408/50000] 2026-06-28 18:50:23 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[46409/50000] 2026-06-28 18:50:23 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[46410/50000] 2026-06-28 18:50:24 | R5 | queens/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[46411/50000] 2026-06-28 18:50:25 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[46412/50000] 2026-06-28 18:50:26 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[46413/50000] 2026-06-28 18:50:26 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[46414/50000] 2026-06-28 18:50:27 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[46415/50000] 2026-06-28 18:50:28 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[46416/50000] 2026-06-28 18:50:29 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[46417/50000] 2026-06-28 18:50:29 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[46418/50000] 2026-06-28 18:50:30 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[46419/50000] 2026-06-28 18:50:31 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[46420/50000] 2026-06-28 18:50:32 | R5 | queens/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[46421/50000] 2026-06-28 18:50:32 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/0_orig → NON-CLONE
[46422/50000] 2026-06-28 18:50:33 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/1_artifice → NON-CLONE
[46423/50000] 2026-06-28 18:50:34 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[46424/50000] 2026-06-28 18:50:34 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[46425/50000] 2026-06-28 18:50:35 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[46426/50000] 2026-06-28 18:50:36 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[46427/50000] 2026-06-28 18:50:36 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[46428/50000] 2026-06-28 18:50:37 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[46429/50000] 2026-06-28 18:50:38 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[46430/50000] 2026-06-28 18:50:39 | R5 | queens/test_0_orig_pg_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[46431/50000] 2026-06-28 18:50:39 | R5 | queens/test_0_orig_pg_krakatau vs guessword/0_orig → NON-CLONE
[46432/50000] 2026-06-28 18:50:40 | R5 | queens/test_0_orig_pg_krakatau vs guessword/1_artifice → NON-CLONE
[46433/50000] 2026-06-28 18:50:41 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[46434/50000] 2026-06-28 18:50:41 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[46435/50000] 2026-06-28 18:50:42 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[46436/50000] 2026-06-28 18:50:43 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[46437/50000] 2026-06-28 18:50:44 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[46438/50000] 2026-06-28 18:50:44 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[46439/50000] 2026-06-28 18:50:45 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[46440/50000] 2026-06-28 18:50:46 | R5 | queens/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[46441/50000] 2026-06-28 18:50:47 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/0_orig → NON-CLONE
[46442/50000] 2026-06-28 18:50:48 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/1_artifice → NON-CLONE
[46443/50000] 2026-06-28 18:50:48 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[46444/50000] 2026-06-28 18:50:49 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[46445/50000] 2026-06-28 18:50:50 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[46446/50000] 2026-06-28 18:50:51 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[46447/50000] 2026-06-28 18:50:52 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[46448/50000] 2026-06-28 18:50:52 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[46449/50000] 2026-06-28 18:50:53 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[46450/50000] 2026-06-28 18:50:54 | R5 | queens/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[46451/50000] 2026-06-28 18:50:55 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/0_orig → NON-CLONE
[46452/50000] 2026-06-28 18:50:55 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/1_artifice → NON-CLONE
[46453/50000] 2026-06-28 18:50:56 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[46454/50000] 2026-06-28 18:50:57 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[46455/50000] 2026-06-28 18:50:58 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[46456/50000] 2026-06-28 18:50:58 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[46457/50000] 2026-06-28 18:50:59 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[46458/50000] 2026-06-28 18:51:00 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[46459/50000] 2026-06-28 18:51:00 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[46460/50000] 2026-06-28 18:51:01 | R5 | queens/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[46461/50000] 2026-06-28 18:51:02 | R5 | queens/test_0_orig_pg_krakatau vs queens/0_orig → CLONE
[46462/50000] 2026-06-28 18:51:02 | R5 | queens/test_0_orig_pg_krakatau vs queens/1_artifice → CLONE
[46463/50000] 2026-06-28 18:51:03 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_0_orig_no_krakatau → CLONE
[46464/50000] 2026-06-28 18:51:03 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_0_orig_no_procyon → CLONE
[46465/50000] 2026-06-28 18:51:04 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_krakatau → CLONE
[46466/50000] 2026-06-28 18:51:05 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_procyon → CLONE
[46467/50000] 2026-06-28 18:51:05 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_krakatau → CLONE
[46468/50000] 2026-06-28 18:51:06 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_procyon → CLONE
[46469/50000] 2026-06-28 18:51:06 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_krakatau → CLONE
[46470/50000] 2026-06-28 18:51:07 | R5 | queens/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_procyon → CLONE
[46471/50000] 2026-06-28 18:51:07 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/0_orig → NON-CLONE
[46472/50000] 2026-06-28 18:51:08 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/1_artifice → NON-CLONE
[46473/50000] 2026-06-28 18:51:09 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[46474/50000] 2026-06-28 18:51:09 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[46475/50000] 2026-06-28 18:51:10 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[46476/50000] 2026-06-28 18:51:11 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[46477/50000] 2026-06-28 18:51:11 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[46478/50000] 2026-06-28 18:51:12 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[46479/50000] 2026-06-28 18:51:13 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[46480/50000] 2026-06-28 18:51:13 | R5 | queens/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[46481/50000] 2026-06-28 18:51:14 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[46482/50000] 2026-06-28 18:51:15 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[46483/50000] 2026-06-28 18:51:15 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[46484/50000] 2026-06-28 18:51:16 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[46485/50000] 2026-06-28 18:51:17 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[46486/50000] 2026-06-28 18:51:17 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[46487/50000] 2026-06-28 18:51:18 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[46488/50000] 2026-06-28 18:51:19 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[46489/50000] 2026-06-28 18:51:19 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[46490/50000] 2026-06-28 18:51:20 | R5 | queens/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[46491/50000] 2026-06-28 18:51:21 | R5 | queens/test_0_orig_pg_krakatau vs square/0_orig → NON-CLONE
[46492/50000] 2026-06-28 18:51:22 | R5 | queens/test_0_orig_pg_krakatau vs square/1_artifice → NON-CLONE
[46493/50000] 2026-06-28 18:51:22 | R5 | queens/test_0_orig_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[46494/50000] 2026-06-28 18:51:23 | R5 | queens/test_0_orig_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[46495/50000] 2026-06-28 18:51:24 | R5 | queens/test_0_orig_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[46496/50000] 2026-06-28 18:51:25 | R5 | queens/test_0_orig_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[46497/50000] 2026-06-28 18:51:26 | R5 | queens/test_0_orig_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[46498/50000] 2026-06-28 18:51:26 | R5 | queens/test_0_orig_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[46499/50000] 2026-06-28 18:51:27 | R5 | queens/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[46500/50000] 2026-06-28 18:51:28 | R5 | queens/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[46501/50000] 2026-06-28 18:51:29 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[46502/50000] 2026-06-28 18:51:30 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[46503/50000] 2026-06-28 18:51:30 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[46504/50000] 2026-06-28 18:51:31 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[46505/50000] 2026-06-28 18:51:32 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[46506/50000] 2026-06-28 18:51:33 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[46507/50000] 2026-06-28 18:51:33 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[46508/50000] 2026-06-28 18:51:34 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[46509/50000] 2026-06-28 18:51:35 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[46510/50000] 2026-06-28 18:51:36 | R5 | queens/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[46511/50000] 2026-06-28 18:51:36 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[46512/50000] 2026-06-28 18:51:37 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[46513/50000] 2026-06-28 18:51:38 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[46514/50000] 2026-06-28 18:51:39 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[46515/50000] 2026-06-28 18:51:39 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[46516/50000] 2026-06-28 18:51:40 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[46517/50000] 2026-06-28 18:51:41 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[46518/50000] 2026-06-28 18:51:42 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[46519/50000] 2026-06-28 18:51:43 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[46520/50000] 2026-06-28 18:51:43 | R5 | queens/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[46521/50000] 2026-06-28 18:51:44 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/0_orig → NON-CLONE
[46522/50000] 2026-06-28 18:51:45 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[46523/50000] 2026-06-28 18:51:45 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[46524/50000] 2026-06-28 18:51:46 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[46525/50000] 2026-06-28 18:51:47 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[46526/50000] 2026-06-28 18:51:47 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[46527/50000] 2026-06-28 18:51:48 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[46528/50000] 2026-06-28 18:51:49 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[46529/50000] 2026-06-28 18:51:50 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[46530/50000] 2026-06-28 18:51:50 | R5 | queens/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[46531/50000] 2026-06-28 18:51:51 | R5 | queens/test_0_orig_pg_procyon vs guessword/0_orig → NON-CLONE
[46532/50000] 2026-06-28 18:51:52 | R5 | queens/test_0_orig_pg_procyon vs guessword/1_artifice → NON-CLONE
[46533/50000] 2026-06-28 18:51:53 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[46534/50000] 2026-06-28 18:51:53 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[46535/50000] 2026-06-28 18:51:54 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[46536/50000] 2026-06-28 18:51:55 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[46537/50000] 2026-06-28 18:51:55 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[46538/50000] 2026-06-28 18:51:56 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[46539/50000] 2026-06-28 18:51:57 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[46540/50000] 2026-06-28 18:51:58 | R5 | queens/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[46541/50000] 2026-06-28 18:51:58 | R5 | queens/test_0_orig_pg_procyon vs hanoi/0_orig → NON-CLONE
[46542/50000] 2026-06-28 18:51:59 | R5 | queens/test_0_orig_pg_procyon vs hanoi/1_artifice → NON-CLONE
[46543/50000] 2026-06-28 18:52:00 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[46544/50000] 2026-06-28 18:52:01 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[46545/50000] 2026-06-28 18:52:02 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[46546/50000] 2026-06-28 18:52:02 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[46547/50000] 2026-06-28 18:52:03 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[46548/50000] 2026-06-28 18:52:04 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[46549/50000] 2026-06-28 18:52:05 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[46550/50000] 2026-06-28 18:52:05 | R5 | queens/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[46551/50000] 2026-06-28 18:52:06 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/0_orig → NON-CLONE
[46552/50000] 2026-06-28 18:52:07 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[46553/50000] 2026-06-28 18:52:08 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[46554/50000] 2026-06-28 18:52:08 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[46555/50000] 2026-06-28 18:52:09 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[46556/50000] 2026-06-28 18:52:10 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[46557/50000] 2026-06-28 18:52:11 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[46558/50000] 2026-06-28 18:52:11 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[46559/50000] 2026-06-28 18:52:12 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[46560/50000] 2026-06-28 18:52:13 | R5 | queens/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[46561/50000] 2026-06-28 18:52:13 | R5 | queens/test_0_orig_pg_procyon vs queens/0_orig → CLONE
[46562/50000] 2026-06-28 18:52:14 | R5 | queens/test_0_orig_pg_procyon vs queens/1_artifice → CLONE
[46563/50000] 2026-06-28 18:52:14 | R5 | queens/test_0_orig_pg_procyon vs queens/test_0_orig_no_krakatau → CLONE
[46564/50000] 2026-06-28 18:52:15 | R5 | queens/test_0_orig_pg_procyon vs queens/test_0_orig_no_procyon → CLONE
[46565/50000] 2026-06-28 18:52:15 | R5 | queens/test_0_orig_pg_procyon vs queens/test_0_orig_pg_krakatau → CLONE
[46566/50000] 2026-06-28 18:52:16 | R5 | queens/test_0_orig_pg_procyon vs queens/test_0_orig_pg_procyon → CLONE
[46567/50000] 2026-06-28 18:52:16 | R5 | queens/test_0_orig_pg_procyon vs queens/test_1_artifice_no_krakatau → CLONE
[46568/50000] 2026-06-28 18:52:17 | R5 | queens/test_0_orig_pg_procyon vs queens/test_1_artifice_no_procyon → CLONE
[46569/50000] 2026-06-28 18:52:17 | R5 | queens/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_krakatau → CLONE
[46570/50000] 2026-06-28 18:52:18 | R5 | queens/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_procyon → CLONE
[46571/50000] 2026-06-28 18:52:18 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/0_orig → NON-CLONE
[46572/50000] 2026-06-28 18:52:19 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[46573/50000] 2026-06-28 18:52:19 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[46574/50000] 2026-06-28 18:52:20 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[46575/50000] 2026-06-28 18:52:21 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[46576/50000] 2026-06-28 18:52:21 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[46577/50000] 2026-06-28 18:52:22 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[46578/50000] 2026-06-28 18:52:23 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[46579/50000] 2026-06-28 18:52:23 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[46580/50000] 2026-06-28 18:52:24 | R5 | queens/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[46581/50000] 2026-06-28 18:52:25 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[46582/50000] 2026-06-28 18:52:25 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[46583/50000] 2026-06-28 18:52:26 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[46584/50000] 2026-06-28 18:52:27 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[46585/50000] 2026-06-28 18:52:27 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[46586/50000] 2026-06-28 18:52:28 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[46587/50000] 2026-06-28 18:52:29 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[46588/50000] 2026-06-28 18:52:29 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[46589/50000] 2026-06-28 18:52:30 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[46590/50000] 2026-06-28 18:52:31 | R5 | queens/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[46591/50000] 2026-06-28 18:52:32 | R5 | queens/test_0_orig_pg_procyon vs square/0_orig → NON-CLONE
[46592/50000] 2026-06-28 18:52:32 | R5 | queens/test_0_orig_pg_procyon vs square/1_artifice → NON-CLONE
[46593/50000] 2026-06-28 18:52:33 | R5 | queens/test_0_orig_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[46594/50000] 2026-06-28 18:52:34 | R5 | queens/test_0_orig_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
